ID,Name,City,Category,Ratings(5),Rating_count,Description,Address,Map-link,Review 1,Review 2,Review 3,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours
68,Half Moon Beach,Gokarna,Beach,4.6,697,"Half Moon Beach is a small beach situated in Gokarna. It is separated from the Om Beach by a cliff from where tourists are bound to get an amazing view of the Arabian Sea. Numerous village huts in the classical Indian style can be spotted lined up by the beach giving it a rather traditional and homely touch altogether. The beach got its name from the striking resemblance that it exhibits with a half moon. Away from the civilization and into the arms of nature, this is the best place to spend time at while looking at the caves and gazing at the sky lit with stars.

Being at the beach is one of the most thrilling experiences as when you are bathing in the water of the Half Moon, all you can see ahead of you is the infinite ocean and behind is the lush and thick jungle making you feel as if you are the last living person left on the face of the earth. There are numerous exciting activities that the place offers including swimming, canoeing, paddle boats, paintball, camping, and cabins. However, there are no water sports available as such. Tourists can also unwind by going sunbathing in the afternoon and lying on hammocks in the night.

To add more to the list, the food of the shack restaurants is finger-licking good. Overseeing the entire coast of the Om Beach, the Half Moon Beach is definitely a getaway spot for all the travellers out there to travel away from the hustle and bustle of the city into nature's lap.
","Gokarna, 581326","https://www.google.com/maps/place/Half+Moon+Beach/@14.5178794,74.3288935,17z/data=!4m14!1m7!3m6!1s0x3bbe8215ae047585:0x923fc815191a4d5d!2sHalf+Moon+Beach!8m2!3d14.5180064!4d74.3314822!16s%2Fg%2F1th5gxcy!3m5!1s0x3bbe8215ae047585:0x923fc815191a4d5d!8m2!3d14.5180064!4d74.3314822!16s%2Fg%2F1th5gxcy?entry=ttu","This is one of the places of Gokarna that I personally loved. By ferry, it took us around 35 minutes to reach Half moon beach. The beach is really clean and is less populated so you get to have your own private space.","This is one among the 2 beaches of Gokarna where you can reach through Trekking or a ferry.. We initially took the trekking path.. Started our trek from Belekan beach, moved to Paradise and then landed at this beautiful secluded place",We visited this beach during the beach trek. It was the second beach after the Paradise Beach as we started from Belekan Beach. The beach is very secluded and there is no way to access beach via road. It is accessible via trekking or through ferry. We were able to witness a very nice sunrise from the beach.,,,,,,,,,,,,,,
69,Paradise Beach,Gokarna,Beach,4.6,"2,627","The fourth beach lying across the coast of Gokarna Town, Paradise Beach is also well-known by the name of 'Full Moon Beach'. Located in the state of Karnataka, the Paradise Beach is about 150 meters in length and out of this almost seventy percent of the beach is entirely covered in rocks. The rest of the beach is adorned with clean white sand all over. Not much water sports are available here but swimming in the calm waters here is a great way to refresh your mind and body. The serene environment of the beach offers a great opportunity to spend some time in nature's lap and find solace.

Paradise Beach is not accessible by road and can only be reached via other beaches, namely the Half Moon Beach and Om Beach. Visitors need to hire a motor boat from either of the above-stated beaches to reach the Paradise Beach. This beach can also be reached after a small hike from the Half Moon Beach. Via this route, it will not take you more than 20 minutes to reach. Paradise Beach was earlier known as the hot spot for all the hippies, due to the trade of weed going on here. As soon as this caught the eye of the Government authorities, all these antisocial activities were curbed, shacks were broken, and all kinds of commercial activities were prohibited here.

During the night time, you can often spot small troops of foreign travellers staying here, camping and cooking their meals. Availability of fresh water well on the beach makes it an ideal spot for camping. The water from this well is clean and safe for drinking. Swimming is highly enjoyable here but swimming far across the shore is risky due to the presence of very strong currents. Visitors can enjoy local cuisine in the nearby localities as well.","Gokarna, 581326","https://www.google.com/maps/place/Paradise+Beach/@14.5180109,74.33257,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe826afd3def59:0x2fb6c147bc7efaeb!8m2!3d14.5180583!4d74.3374396!16s%2Fg%2F1vlz8tdm?entry=ttu",Here we have our private beach experience like when we reached it is morning 9am or something a lot less people and very peaceful,"No vehicular approach and hence the people coming there are also less, leaving the place pristine. Have to trek some distance but then it is worth it.",One of the beaches in Gokarna where you can reach only through trek or ferry. This place is indeed a paradise once you reach!! We reached there through a trek from Belekan beach. This is the first beach in the trek.,,,,,,,,,,,,,,
70,Gadaikallu (Narasimha Gudde),Belthangady,Mountain,4.6,541,"Gadaikallu, also known as Narasimha Gudde, is a hill located in the Western Ghats of Karnataka, India. It is situated in the Belthangady taluk of Dakshina Kannada district, about 70 kilometers from Mangalore. The hill is about 1,788 feet (545 meters) high and is known for its scenic beauty and religious significance. The name Gadaikallu comes from the Kannada words ""gada"" (mace) and ""kallu"" (stone). The hill is said to resemble a mace, and there is a temple dedicated to Lord Narasimha, an incarnation of Vishnu, on the top of the hill. The hill is a popular trekking destination, and the trek to the top is about 4 kilometers long. The trek is moderately difficult and takes about 2-3 hours to complete. The views from the top of the hill are breathtaking, and on a clear day, one can see the Arabian Sea and the Kudremukh National Park. The temple on the top of the hill is said to have been built by the Keladi Nayaks in the 16th century. The temple is small and simple, but it is a popular pilgrimage destination. Gadaikallu is a beautiful and peaceful place, and it is a great place to go for a trek or a pilgrimage.",Karnataka 574214,"https://www.google.com/maps/place/Gadaikallu+(Narasimha+Gudde)/@13.0273063,75.2894702,16z/data=!3m1!4b1!4m6!3m5!1s0x3ba4b5d5354612c7:0x1e53c9ba5b45e0ce!8m2!3d13.0278939!4d75.29384!16s%2Fg%2F1tf6q6r0?entry=ttu","The Gadaikallu fort, established in the 12th century by King Veernarasimha Bangaraja for the defense of his realm, stands approximately at a height of 1790 feet and has 1876 steps. Currently, the entry fees are 50 rupees for adults and 25 rupees for children. A secret tunnel leads from Narasimha Ghada fort to the Mysore Palace.",Best trekking experience and easy trek for begineers. If you're in Dharmasthala temple and you can visit this place as it's nearby.,"One of the best trekking experiences. There are many steps, so be sure to bring water with you. The altitude is very high. The top view may not be the best, but spending time with friends is enjoyable.",,,,,,,,,,,,,,
71,Malpe Island Fort,Malpe,Fort,3.7,11,"The Malpe Island Fort, also known as Daria Bahadurgad Fort, is a historical landmark located near Malpe beach in Karnataka, India. Here's a breakdown of its key aspects:

Built by Basavappa Naik of Bidanur, the fort's exact construction date remains unclear, though historical estimates place it in the ""past decades.""
It likely served a defensive purpose, protecting the Malpe coast from potential maritime attacks.
The fort lies on Daria-Bahadurgad Island, a small rocky island about 1.6 square kilometers wide, situated a few kilometers west of Malpe beach.
Malpe town is well-connected by road to Udupi, the nearest major city.
Reaching the fort involves taking a boat ride from Malpe; these services are readily available and affordable.","8MQQ+H7R, Malpe, Karnataka","https://www.google.com/maps/place/Malpe+Island+Fort/@13.338986,74.6855709,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbcbbb176175ca1:0x7ff4bf9da23719e9!8m2!3d13.338986!4d74.6881458!16s%2Fg%2F11qmc9w_qk?entry=ttu","It is a nice place to visit, as it is an island. There is no other way to reach the place apart from boat (ferry). Previously, there was access to this place like st.Mary's island but now due to maintenance issues not all can visit, they have a special package (which might cost around 5000 or so) and prior permission and tickets have to be taken. they cover some 3 islands in this package including the fort.",some old temples and tile factory are located near this fort. Built by basavappa naik.it is a beautiful architectural structure.,Daria Bahadurgad Fort:..... . . . . Excellent place to visit.... . . . . This review is based on my own experience....,,,,,,,,,,,,,,
72,Nellithirtha Shree Somanatheswara Guhalaya,Nelliteerta,Hindu temple,4.7,478,"Nellitheertha Cave Temple in Nellitheertha, Karnataka, India is dedicated to the Indian deity Sri Somanatheshwara, or Shiva. The temple dates back to at least 1487 CE.
Lord Somanatha ,To the right of the temple is a natural cave, about 200 metres (660 ft) long. Access is restricted, forcing visitors to crawl in on their knees. Inside, there is a lake and a Shiva Lingam.It is believed that the cave in Nellitheertha was used by Sage Jabali to perform a penance to appease Goddess Durga Parameshwari. Goddess Durga appeared in front of Sage Jabali and assured him that she would kill the demon Arunasura. She later took the shape of a bumble bee and killed Arunasura on the banks of the river Nandini. At that place today is a beautiful temple of Goddess Durgaparameshwari and the place is very well known as Kateel.

The Cave at Nellitheertha.
Goddess Durga also assured Sage Jabali that Shiva, Vishnu and Durga herself would grace that region and that there would be temples to worship all three of them in the vicinity. One can find a Vishnu temple near Nellitheertha at a place called Kompadavu. Goddess Durga is worshipped in a place called Muchur, again near Nellitheertha. And Lord Shiva made Nellitheertha his abode.","2W85+GG4, Kuppepadav, Nelliteerta, Karnataka 574144","https://www.google.com/maps/place/Nellithirtha+Shree+Somanatheswara+Guhalaya/@13.0162607,74.9062376,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba3543a9955bf6b:0x1aefcf23d31b05c8!8m2!3d13.0162607!4d74.9088125!16zL20vMDl3ZjRj?entry=ttu","A great place, the ancient cave offers spiritual feelings and extraordinary experience November or December is the best time to visit this place",Beautiful temple. If you sit for an minute in the temple you will forget you problems. And there is an cave it's enter price is rupees 100. Beautiful temple. If you sit for an minute in the temple you will forget you problems. And there is an cave it's enter price is rupees 100. ,"Great adventure, this is not only a temple you guys must visit and feel the experience . Access is restricted, forcing visitors to crawl in on their knees. Inside, there is a lake and a Shiva Lingam.Great adventure, this is not only a temple you guys must visit and feel the experience . Access is restricted, forcing visitors to crawl in on their knees. Inside, there is a lake and a Shiva Lingam.",Monday,"5 AM to 1 PM, 5 to 8 PM",Tuesday,"5 AM to 1 PM, 5 to 8 PM",Wednesday,"5 AM to 1 PM, 5 to 8 PM",Thursday,"5 AM to 1 PM, 5 to 8 PM",Friday,"5 AM to 1 PM, 5 to 8 PM",Saturday,"5 AM to 1 PM, 5 to 8 PM",Sunday,"5 AM to 1 PM, 5 to 8 PM"
73,Adyar Falls,Mangaluru,Waterfalls,4.1,"1,463","Adyar Falls, also known as Adyar Waterfalls, is a seasonal waterfall located near Mangalore, Karnataka, India.It's a relatively small waterfall, and its water level fluctuates significantly depending on the season. During the monsoon season (June to September), the falls come alive with a stronger flow, while the dry season might see them reduced to a trickle or even completely dry. Reaching the falls requires a short trek, which may not be suitable for everyone, especially during the monsoon when the path can get slippery. ","Valachil, Adyar, Mangaluru, Karnataka 574143","https://www.google.com/maps/place/Adyar+Falls/@12.833289,74.9636745,11.09z/data=!4m6!3m5!1s0x3ba35858199303d3:0x5bfdfd68521a2962!8m2!3d12.8710148!4d74.9351664!16s%2Fg%2F1hf9g6x9v?entry=ttu",Excellent place to enjoy with nature... The view point is superb.. The way to reach the falls is tough for kids and old people.. Nice place,The term waterfall could be misleading as the level f water is not too much. I understand that during monsoons the levels are higher but even then do not expect something big. You need a small trek to get to this place.,"The waterfall looks great with greenery tress and fresh air. It is good place to visit one day picnic with family and children.
",Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,9 AM to 6 PM,Sunday,9 AM to 6 PM
74,Narasimhaghada-Jamalabad Fort-Gadayikal,Belthangady,Fort,4.6,630,"Narasimhaghada-Jamalabad Fort-Gadayikal, also known as Jamalabad Fort and Gadaikallu, is a hilltop fort located in the Kudremukh range of hills, 8 km north of Beltangady town and 65 km from the city of Mangalore in Dakshina Kannada district, Karnataka, India.

The fort is believed to have been built by the Keladi Nayaks in the 16th century, and was later captured by Tipu Sultan in the 18th century. The fort is now in ruins, but still offers stunning views of the surrounding landscape.

The fort is situated on a hill that is about 300 meters high. The main entrance to the fort is on the eastern side. The fort has two main gates, the outer gate and the inner gate. The outer gate is smaller and has a smaller tower. The inner gate is larger and has a larger tower. The fort has several other towers and bastions.

The fort is in ruins, but still offers stunning views of the surrounding landscape. The fort is a popular tourist destination, and is known for its historical significance and scenic beauty.","Narasimhaghada Gadayikal, Gutthu Road, Nadu, Karnataka 574214","https://www.google.com/maps/place/Narasimhaghada-Jamalabad+Fort-Gadayikal/@13.0336256,75.2970682,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba4b5d5501aa11d:0x24a8887d86111790!8m2!3d13.0336256!4d75.2996431!16s%2Fg%2F11csqydqwk?entry=ttu","A cool and peaceful place to relax and enjoy nature, Pro tip start hiking early in the morning and end the hike by 4:30pm, after 5:00 it gets really dark! Place on top is a bit polluted with plastics, be responsible and reduce carrying of plastics around this place. Only one bottle of water is allowed per person, carry less junk and more water of traveling in groups.
The place has more than 1200 steps so one will have to pump up their adrenaline to reach the top.","Best time to visit in mansoon, in mansoon sometimes it's closing bcz of heavy rains so find out before going","You should have at least 2 litres of water to complete trekking. Better start at morning, take a break in top. Have snacks and start landing. Shoe is necessary. Have umbrella in summer. Travel in group.",Monday,7:30 AM to 6 PM,Tuesday,7:30 AM to 6 PM,Wednesday,7:30 AM to 6 PM,Thursday,7:30 AM to 6 PM,Friday,7:30 AM to 6 PM,Saturday,7:30 AM to 6 PM,Sunday,7:30 AM to 6 PM
75,Manasa Amusement & Water Park,Mangaluru,Water Park,3.9,"2,831","Escape to Manasa Amusement & Water Park for a fun-filled day in Mangalore, Karnataka! This park offers a perfect blend of thrills and relaxation for all ages. Experience heart-pounding slides on the water side, including a sizable swimming pool, a wave pool (perfect for bodyboarding), and colorful water slides catering to different levels of intensity. For landlubbers, there's an amusement park section with exciting rides like Dhoom Bike Ride (a merry-go-round for children) and a giant Ferris wheel offering panoramic views. Don't forget to explore the well-maintained gardens and designated rest areas for a break in between the action. Manasa Amusement & Water Park boasts a restaurant with seating for 350, alongside various food counters, ensuring you stay fueled for your adventures.","Pilikula Nisarga Dhama, Mudushedde, Vamanjoor, Mangaluru, Karnataka 575028","https://www.google.com/maps/place/Manasa+Amusement+Park/@12.9292777,74.89925,16.88z/data=!4m10!1m2!2m1!1sManasa+Amusement+%26+Water+Park!3m6!1s0x3ba35742933b11f3:0xa7ff8d3a217e59f8!8m2!3d12.9273026!4d74.896758!15sCh1NYW5hc2EgQW11c2VtZW50ICYgV2F0ZXIgUGFya1ofIh1tYW5hc2EgYW11c2VtZW50ICYgd2F0ZXIgcGFya5IBDmFtdXNlbWVudF9wYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TT0dWeFkycDNSUkFC4AEA!16s%2Fg%2F11b6h_2_sd?entry=ttu","Waiting for all games, family sitting tube is available 2 only and 2 person sitting tube is only three and every time we take tubes park person not carring the tube","Good stay, but noise from bar should not disturb customers. Floor carpet needs cleaning /renewal. Room dim light is too bright and cannot be switched off from the room causing loss of sleep.",you can visit here as there is no other water park in mangalore. this place is on the average level.,Monday,10:30 AM to 5 PM,Tuesday,10:30 AM to 5 PM,Wednesday,10:30 AM to 5 PM,Thursday,10:30 AM to 5 PM,Friday,10:30 AM to 5 PM,Saturday,10:30 AM to 5 PM,Sunday,10:30 AM to 5 PM
76,Tannirubavi TREE PARK,Mangaluru,Park,4.2,"1,134","Immerse yourself in nature at Tannirubavi Tree Park, a verdant escape located near Tannirbhavi Beach in Mangalore, Karnataka. This park boasts a rich variety of trees, including those native. Explore sections showcasing medicinal and herbal plants, perfect for nature enthusiasts curious about local flora. The park caters to families with a dedicated children's play area, while a cultural zone offers glimpses into traditional lifestyles through artistic depictions. For a touch of relaxation, unwind at the beachfront relaxation areas, or grab a bite at the on-site food court. Whether you seek a scenic escape, a chance to learn about local plants, or simply a fun family outing, Tannirubavi Tree Park provides a refreshing and enriching experience.","Sultan Battery, Sulthan Bathery Rd, Urva, Gandhinagar, Mangaluru, Karnataka 575003","https://www.google.com/maps/place/Tannirubavi+TREE+PARK/@12.8763247,74.8172811,18z/data=!4m10!1m2!2m1!1sTannirubavi+TREE+PARK!3m6!1s0x3ba35a8b874f1895:0xac01b531c5d2beb8!8m2!3d12.8748276!4d74.8188321!15sChVUYW5uaXJiaGF2aSBUUkVFIFBBUktaFyIVdGFubmlyYmhhdmkgdHJlZSBwYXJrkgEEcGFya5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONWEzTk1XR2wzUlJBQuABAA!16s%2Fg%2F11c30s5lps?entry=ttu","Tree park. One can take an auto from the ferry port (sultan battery side) . Nothing worth mentioning about the park, but nice place to relax. There are some tree varities which I saw first time (Tincher plant) I was expecting more trees and mangrove kind of environment. There was only one Scaevola towards beach side. One can also enter the beach from back side of the park. It is just pristine.",Went on a weekday and was not that great. Place is good with lots of trees and places to sit. Weekdays hardly anyone is around. Kids play area is maintained very average.,"Nearby to the Tannirbhavi Beach, it houses many trees and statues. Needs more attention. However, one visiting the Tannirbhavi Beach may have a look at it as it is nearby, approx 1 km, sprawling in a huge area.",Monday,Closed,Tuesday,10 AM to 6 PM,Wednesday,10 AM to 6 PM,Thursday,10 AM to 6 PM,Friday,10 AM to 6 PM,Saturday,10 AM to 6 PM,Sunday,10 AM to 6 PM
77,Yana Rocks,Gokarna,Mountain,4.6,"2,180","Yana is a tourist destination located in forest of Katgal Range, which is also a part of Malenadu region of Uttara Kannada district of Karnataka state in India . Yana is one of the wettest villages in the world. It is the cleanest village in Karnataka and the second cleanest village in India. The two unique rock outcrops after the village are tourist attractions and easily approachable by two routes one from Kumta-Sirsi Highway by a small trek through 0.5 kilometres (0.31 mi) the thick forests from the nearest road head and another from Sirsi-Ankola Road.

Yana is famous for these two massive rock outcrops known as the Bhairaveshwara Shikhara and the Mohini Shikhara (""Shikhara"" means ""mountain peak""). The huge rocks are composed of solid black, crystalline karst limestone. Bhairaveshwara Shikhara is 120 metres (390 ft) in height, while the Mohini Shikhara, which is smaller, is 90 metres (300 ft) in height. Yana is also well known as a pilgrimage center because of the cave temple below the Bhairaveshwara Shikhara where a Swayambhu (""self-manifested"", or ""that which is created by its own accord"") linga has been formed. Water drips from the roof over the Linga, adding to the sanctity of the place. During Shivaratri here, a car festival is held, along with other festivities. The place and its surrounding hillocks are also known for their evergreen scenic forests.","Yana, Karnataka 581403","https://www.google.com/maps/place/Yana+Rocks/@14.5908205,74.564047,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe9f385575bcfb:0x69bf3fc41a91cdf3!8m2!3d14.5908205!4d74.5666219!16s%2Fg%2F11c31tx4w0?entry=ttu","Its a different kind of place all-together... First u will have to trek for almost 2-3 kms through a jungle and then you will get to see a temple build over n around a cave... superb experience...
The only problem that I see is that you have to walk in the premises barefoot and it is not easy at all... I understand that it might be because we have a temple in the area but at least provide a cover or something so that one can walk little easily and enjoy the place more.","I was very excited to go here, but To be honest, this is really a very over rated place... Although the road to Yana goes through 16Km of dense forest. At 2 in afternoon it was all breezing cold ... scary as only we were driving alone in bike, and it had got sign boards with sightings of Tigers.
After reaching you need to park bike and start climbing - rather walking - upto 1.5KM then you'll see Yana rocks.. You can visit once.","Excellent place for visit be ready to climb stair and long walk
Beautiful view and excellent location",Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,8 AM to 6 PM
78,Mirjan Fort,Gokarna,Fort,4.3,"11,297","The Mirjan Fort is located on the west coast of the Uttara Kannada district in the southern Indian state of Karnataka. The fort known for its architectural elegance was the location of several battles in the past. It is about 0.5 kilometres (0.31 mi) from the National Highway 66 and 21 kilometres (13 mi) from Gokarna, the famous Hindu pilgrimage centre on the west coast of India.

According to the first historical version, Rani Chennabhairadevi of Gersoppa (under the Vijayanagara Empire) was initially credited with building the Mirjan Fort in the 16th century. She ruled for 54 years and also lived in the fort. During her reign, the port at Mirjan, which is 32 kilometres (20 mi) to the south east of Karwar, was used for shipping pepper, saltpetre and betel nut to Surat. Gersoppa, a district annexed to Bednur, was famous for the pepper exported from this region. Consequently, the Portuguese gave the epithet ""Rani, the Pepper queen"" (""Rainha de Pimenta"" in Portuguese) to the Queen of Gersoppa.","FCQ9+P2P, talluk, Mirjan Fort Road, Mirjan, Karnataka 581333","https://www.google.com/maps/place/Mirjan+Fort/@14.4893403,74.4149897,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbc27e587672ccb:0xa2cb05388565e3c8!8m2!3d14.4893403!4d74.4175646!16s%2Fm%2F0c02qcf?entry=ttu",It was worth watching in monsoons with green texture on fort and it was near by place from gokarna temple and one should visit this place without fail.,"This fort has got a lots of history. Ruled by different people like adil shah, Portuguese and British. What they don't tell you, that this fort was also ruled by a spice queen for trade. She had it ruled for 54 years. (don't know how far it is true officially). Clean fort and breathtaking view in monsoon. I liked every bit of it.",I went there early in the morning with my friends it is filed with green and calm atmosphere with bird sounds . definitely recommended,Monday,8 AM to 5:30 PM,Tuesday,8 AM to 5:30 PM,Wednesday,8 AM to 5:30 PM,Thursday,8 AM to 5:30 PM,Friday,8 AM to 5:30 PM,Saturday,8 AM to 5:30 PM,Sunday,8 AM to 5:30 PM
79,Gokarna Main Beach,Gokarna,Beach,4.4,"31,140","Gokarna Beach is several kilometres long and is situated at the edge of the temple town. It has recently gained popularity as a go-to beach destination owing to its beautiful stretches of sand and pristine locations. Gokarna beaches were rarely frequented by the locals until foreign tourists started thronging the seaside. Soon, many locals opened stores selling souvenirs, unique cafes and beach shacks. Walking along the coastline here is unique as you will come across many cafes and shacks and this is a place where the hippie culture of Gokarna is at.

 It is quite popular with pilgrims who come to the town to seek the blessings of Shiva, Indian groups and with foreign tourists as well. The muddy uphill roads with forest cover on both sides provide for more than a reason to go for a hike or a family picnic. The steep rocks in the shallow sea allow rock climbing for the adventure junkies. Bird and animal life is plenty around the serene beaches. While in Gokarna Beach, taking a crash course in Yoga is also a great way to spend the mornings. ","Belehittal Rd, Dandebagh, Gokarna, Karnataka 581326","https://www.google.com/maps/place/Gokarna+Main+Beach/@14.5437352,74.3110539,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe83d61cc8edb7:0x909513ca502e1759!8m2!3d14.5437352!4d74.3136288!16s%2Fg%2F1tf2qp6_?entry=ttu","This is a beautiful long beach, dotted infrequently with cafes, and just a short step away from Gokarna town. The beach is amazingly long with beautiful sand, and looks amazing.
I give it four start because there isn't a lot to do here, and very few loungers or shade to use, and the sea is too rough to swim in.
Great for a few hours, but not so much to do here if you want a longer break.
There are sea turtles here, as I saw one washed up on the beach, but I think it was dead, which was quite distressing.",The beach views were amazing and scenic. The sunset was also absolutely awesome. The roads connecting Gokarna were really coo,The Gokarna Beach next to the Mahabaleshwar Temple is good to just wet your feet.. and spend some time in the evening after the temple visit.,,,,,,,,,,,,,,
80,Koti Teertha,Gokarna,Lake,4.4,176,"A man made tank, Koti Tirtha is considered to be extremely sacred and is used for ritual bathing and immersing idols. The tank is surrounded by temples on all sides.","Kotiteertha, Gokarna, Karnataka 581326","https://www.google.com/maps/place/Koti+Teertha/@14.5416184,74.3179965,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe822cd78bc847:0x3707d456c8106dfe!8m2!3d14.5417136!4d74.3208041!16s%2Fg%2F1ymx8w156?entry=ttu","Historical , mythological , spiritual significance can be witnessed here by ancient Hindu architects. It looks a big green , but its not dirty. Its made of granite stone and platforms are made from all four sides. Attaching a pic which i clicked when I was there. In monsoon it might be even beautiful.",This place one of the most important place in Gokarna. but kotitirtha was not clean.but place are good,"its a charming town, charming pond but with a lot of brahmin uppity. unfriendly people all around, for all their talk and seperation, the pond is dirty and the bathe in it everyday. err how about you keep the pond clean and perhaps your mind will clear up? but talk to the tribal folks, they are sweet friendly folk.",Monday,"6 AM to 12:30 PM, 5 PM to 12 AM",Tuesday,"12 AM to 12:30 PM, 5 to 8:30 PM",Wednesday,"6 AM to 12:30 PM, 5 to 8:30 PM",Thursday,"6 AM to 12:30 PM, 5 to 8:30 PM",Friday,"6 AM to 12:30 PM, 5 to 8 PM",Saturday,"5 AM to 12 PM, 6 to 8:30 PM",Sunday,"5 AM to 12:30 PM, 5 to 8:30 PM"
81,Shree Maha Ganapati Dev temple Gokarna,Gokarna,Hindu temple,4.7,"1,041","Dedicated to Lord Ganesha, this temple is located near the Mahabaleshwara temple and quite popular among pilgrims visiting Gokarna.

As per the legend of Lord Shiva's blessings, visitors are supposed to seek the blessings of Lord Ganesha before visiting the Mahabaleshwara temple.","Car Street, Dandebagh, Gokarna, Karnataka 581326","https://www.google.com/maps/place/Shree+Maha+Ganapati+Dev+temple+Gokarna/@14.5432178,74.3144407,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe83d4a2d041a9:0xa548fb21d91ee5a!8m2!3d14.5432178!4d74.3170156!16s%2Fg%2F11cn0sgs5_?entry=ttu",One is allowed in the sanctum sactorum only wearing dhotis without any top. Its a spiritual experience wearing yellow dhoti worshipping the lord.,small temple near the mahabaleshwa temple.. not to miss when you visit there... need to remove your shirt when your shirt for entering inside the temples.,A sweet little temple located in the old part of the town besides the Mahabaleshwar Temple. The idol of the Lord Ganpati is standing which is rare.,,,,,,,,,,,,,,
82,Small Hell Beach,Gokarna,Beach,4.5,63,"A must-visit when in Gokarna, Small Hell Beach is a peaceful beach that features golden sand and ultramarine blue water that is exceptionally calm. Given that it is untouched by untouched hands, the surroundings are quite clean and absolutely breathtaking. Surrounded by massive rocks and tall trees, it is ideal for swimming, sunbathing, taking photographs and relaxing. A few fishing boats go by occasionally and add to the scenic beauty of the area.","Gokarna, 581326","https://www.google.com/maps/place/Small+Hell+Beach/@14.5185743,74.3336337,17z/data=!3m1!4b1!4m6!3m5!1s0x3bbe826ac52b8699:0x4ffb2e1c9df59769!8m2!3d14.5185896!4d74.3361565!16s%2Fg%2F11b6yd1w53?entry=ttu","Nice and small beach. First some off road experience, then little treking and you can enjoy view of 2 beach.",Beautiful place. Best to visit during morning and evening. Little hiking is needed,"its really a small beach, close to paradise beach. nothing much here. Its a passing beach during the trek.",,,,,,,,,,,,,,
83,Mahatma Gandhi Museum,Mangaluru,Museum,5,5,"The Mahatma Gandhi museum played a crucial role in galvanizing the freedom struggle in the city. On his visits, Mahatma Gandhi enjoyed enlightening people and participating in various school functions. Once in 1927, Ganghiji inaugurated a portrait of Lokmanya Tilak, a celebrated freedom fighter, in the Canara Public School, Dongerkery. His next visit to the school was in 1934. This visit was accompanied by Gandhiji laying the foundation of the Krishna Mandir.

The school authorities sought his permission (in 1939) to name the museum, which came into existence in 1935, after his name (although Gandhiji was confused as to what purpose it would serve – a humble man indeed!). Presently the museum stands in the school premises and is indeed an honor to the eminent leader of all times, Mahatma Gandhi.","VRFQ+FHV, Dongerkery, Kodailbail, Mangaluru, Karnataka 575001","https://www.google.com/maps/place/Mahatma+Gandhi+Museum/@12.8737382,74.8340483,17z/data=!3m1!4b1!4m6!3m5!1s0x3ba35b007ed05b3d:0x9ff18b879db87155!8m2!3d12.8737382!4d74.8389192!16s%2Fg%2F11lcjwrrnk?entry=ttu",The museum is well maintained and houses some of old Mahatma Gandhi's letters and other collections. For a history buff this maybe a place of interest.,This is a place which carry lots of collection which is good to see as part of India history and culture.,The museum is well maintained and the collection includes various artifacts as well as letters aging back to the time of independence. Truly a must visit for history lovers.,,,,,,,,,,,,,,
